リンク,漢字,仮名
http://www.wikidata.org/entity/Q210,直角,ちょっかく
http://www.wikidata.org/entity/Q556,水素,すいそ
http://www.wikidata.org/entity/Q676,散文,さんぶん
http://www.wikidata.org/entity/Q688,塩素,えんそ
http://www.wikidata.org/entity/Q880,白金,しろがね
http://www.wikidata.org/entity/Q943,黄色,きいろ
http://www.wikidata.org/entity/Q1057,代謝,たいしゃ
http://www.wikidata.org/entity/Q1693,北海,ほっかい
http://www.wikidata.org/entity/Q1860,英語,えいご
http://www.wikidata.org/entity/Q2294,陽子,ようこ
http://www.wikidata.org/entity/Q2703,元期,もとき
http://www.wikidata.org/entity/Q2979,自由,じゆう
http://www.wikidata.org/entity/Q4006,地図,ちず
http://www.wikidata.org/entity/Q4290,投資,とうし
http://www.wikidata.org/entity/Q6388,水泳,すいえい
http://www.wikidata.org/entity/Q7239,生物,せいぶつ
http://www.wikidata.org/entity/Q7365,筋肉,きんにく
http://www.wikidata.org/entity/Q7560,母親,ははおや
http://www.wikidata.org/entity/Q7707,水球,すいきゅう
http://www.wikidata.org/entity/Q7949,真理,しんり
http://www.wikidata.org/entity/Q8458,人権,じんけん
http://www.wikidata.org/entity/Q9174,宗教,しゅうきょう
http://www.wikidata.org/entity/Q9492,確率,かくりつ
http://www.wikidata.org/entity/Q9609,静脈,じょうみゃく
http://www.wikidata.org/entity/Q9620,神経,しんけい
http://www.wikidata.org/entity/Q9644,関節,かんせつ
http://www.wikidata.org/entity/Q9655,動脈,どうみゃく
http://www.wikidata.org/entity/Q9753,代宗,だいそう
http://www.wikidata.org/entity/Q9760,順宗,じゅんしゅう
http://www.wikidata.org/entity/Q9983,英宗,えいそう
http://www.wikidata.org/entity/Q11426,金属,きんぞく
http://www.wikidata.org/entity/Q11466,温度,おんど
http://www.wikidata.org/entity/Q11651,電流,でんりゅう
http://www.wikidata.org/entity/Q12134,天球,てんきゅう
http://www.wikidata.org/entity/Q12453,測定,そくてい
http://www.wikidata.org/entity/Q12861,火薬,かやく
http://www.wikidata.org/entity/Q12876,戦車,せんしゃ
http://www.wikidata.org/entity/Q13991,四国,しこく
http://www.wikidata.org/entity/Q14189,積雲,せきうん
http://www.wikidata.org/entity/Q16491,昼光,ちゅうこう
http://www.wikidata.org/entity/Q16917,病院,びょういん
http://www.wikidata.org/entity/Q18000,成年,せいねん
http://www.wikidata.org/entity/Q22947,住民,じゅうみん
http://www.wikidata.org/entity/Q23406,紅海,こうかい
http://www.wikidata.org/entity/Q23418,裏門,うらもん
http://www.wikidata.org/entity/Q23691,国歌,こっか
http://www.wikidata.org/entity/Q23856,独楽,こま
http://www.wikidata.org/entity/Q24723,童話,どうわ
http://www.wikidata.org/entity/Q25428,電圧,でんあつ
http://www.wikidata.org/entity/Q26401,頂点,ちょうてん
http://www.wikidata.org/entity/Q27939,歌唱,かしょう
http://www.wikidata.org/entity/Q28428,百済,くだら
http://www.wikidata.org/entity/Q28511,夫余,ふよ
http://www.wikidata.org/entity/Q28763,明史,みんし
http://www.wikidata.org/entity/Q28823,織物,おりもの
http://www.wikidata.org/entity/Q34394,信念,しんねん
http://www.wikidata.org/entity/Q35245,語源,ごげん
http://www.wikidata.org/entity/Q35758,物質,ぶっしつ
http://www.wikidata.org/entity/Q36633,売春,ばいしゅん
http://www.wikidata.org/entity/Q37501,眼鏡,めがね
http://www.wikidata.org/entity/Q37682,世宗,せいそう
http://www.wikidata.org/entity/Q37707,俳句,はいく
http://www.wikidata.org/entity/Q37756,合金,ごうきん
http://www.wikidata.org/entity/Q39266,子犬,こいぬ
http://www.wikidata.org/entity/Q39367,犬種,けんしゅ
http://www.wikidata.org/entity/Q40526,層雲,そううん
http://www.wikidata.org/entity/Q40763,種子,しゅし
http://www.wikidata.org/entity/Q42008,主権,しゅけん
http://www.wikidata.org/entity/Q42621,雑種,ざっしゅ
http://www.wikidata.org/entity/Q43010,石英,せきえい
http://www.wikidata.org/entity/Q46737,資産,しさん
http://www.wikidata.org/entity/Q47844,造園,ぞうえん
http://www.wikidata.org/entity/Q47924,放下,ほうげ
http://www.wikidata.org/entity/Q48214,近東,きんとう
http://www.wikidata.org/entity/Q48360,海馬,かいば
http://www.wikidata.org/entity/Q48442,通勤,つうきん
http://www.wikidata.org/entity/Q49848,文書,ぶんしょ
http://www.wikidata.org/entity/Q50362,南区,みなみく
http://www.wikidata.org/entity/Q50393,北区,きたく
http://www.wikidata.org/entity/Q50394,北区,きたく
http://www.wikidata.org/entity/Q50395,北区,きたく
http://www.wikidata.org/entity/Q50396,北区,きたく
http://www.wikidata.org/entity/Q50403,西区,にしく
http://www.wikidata.org/entity/Q50404,西区,にしく
http://www.wikidata.org/entity/Q50438,中区,なかく
http://www.wikidata.org/entity/Q50443,中区,なかく
http://www.wikidata.org/entity/Q51619,尊者,そんじゃ
http://www.wikidata.org/entity/Q61509,旅行,りょこう
http://www.wikidata.org/entity/Q62155,接辞,せつじ
http://www.wikidata.org/entity/Q65943,定理,ていり
http://www.wikidata.org/entity/Q75322,犬島,いぬしま
http://www.wikidata.org/entity/Q83500,知能,ちのう
http://www.wikidata.org/entity/Q93353,刀部,かたなぶ
http://www.wikidata.org/entity/Q94734,宝島,たからしま
http://www.wikidata.org/entity/Q95023,万鋼,まんこう
http://www.wikidata.org/entity/Q95592,女部,おんなぶ
http://www.wikidata.org/entity/Q95666,小部,こべ
http://www.wikidata.org/entity/Q104280,歯肉,しにく
http://www.wikidata.org/entity/Q107780,光束,こうそく
http://www.wikidata.org/entity/Q111029,語根,ごこん
http://www.wikidata.org/entity/Q118999,京商,きょうしょう
http://www.wikidata.org/entity/Q123524,至点,いたてん
http://www.wikidata.org/entity/Q124490,暴力,ぼうりょく
http://www.wikidata.org/entity/Q128346,横田,よこた
http://www.wikidata.org/entity/Q130983,小脳,しょうのう
http://www.wikidata.org/entity/Q131841,観念,かんねん
http://www.wikidata.org/entity/Q132648,方部,ほうぶ
http://www.wikidata.org/entity/Q132749,毛部,けぶ
http://www.wikidata.org/entity/Q133182,迷信,めいしん
http://www.wikidata.org/entity/Q133516,単糖,たんとう
http://www.wikidata.org/entity/Q134624,受粉,じゅふん
http://www.wikidata.org/entity/Q134737,貴族,きぞく
http://www.wikidata.org/entity/Q139536,馬医,うまい
http://www.wikidata.org/entity/Q140686,会長,かいちょう
http://www.wikidata.org/entity/Q143518,火口,かこう
http://www.wikidata.org/entity/Q143873,歯車,はぐるま
http://www.wikidata.org/entity/Q143966,白部,しろぶ
http://www.wikidata.org/entity/Q144674,示部,じぶ
http://www.wikidata.org/entity/Q145909,豆果,とうか
http://www.wikidata.org/entity/Q153249,可児,かに
http://www.wikidata.org/entity/Q153721,京都,きょうと
http://www.wikidata.org/entity/Q154549,大工,だいく
http://www.wikidata.org/entity/Q155462,名取,なとり
http://www.wikidata.org/entity/Q155913,白河,しらかわ
http://www.wikidata.org/entity/Q155930,海運,かいうん
http://www.wikidata.org/entity/Q156223,年金,ねんきん
http://www.wikidata.org/entity/Q156653,米部,こめぶ
http://www.wikidata.org/entity/Q156992,至部,いたぶ
http://www.wikidata.org/entity/Q157148,少将,しょうしょう
http://www.wikidata.org/entity/Q157436,見部,けんぶ
http://www.wikidata.org/entity/Q157471,角部,かくぶ
http://www.wikidata.org/entity/Q158646,主義,しゅぎ
http://www.wikidata.org/entity/Q159675,支流,しりゅう
http://www.wikidata.org/entity/Q160381,西洋,せいよう
http://www.wikidata.org/entity/Q160402,知覚,ちかく
http://www.wikidata.org/entity/Q161936,死神,しにがみ
http://www.wikidata.org/entity/Q162602,中州,なかす
http://www.wikidata.org/entity/Q162919,印章,いんしょう
http://www.wikidata.org/entity/Q163047,造花,ぞうか
http://www.wikidata.org/entity/Q166154,線分,せんぶん
http://www.wikidata.org/entity/Q168182,正午,しょうご
http://www.wikidata.org/entity/Q168403,近視,きんし
http://www.wikidata.org/entity/Q170404,査証,さしょう
http://www.wikidata.org/entity/Q171441,包領,つつみりょう
http://www.wikidata.org/entity/Q171558,事故,じこ
http://www.wikidata.org/entity/Q172839,現像,げんぞう
http://www.wikidata.org/entity/Q173253,感覚,かんかく
http://www.wikidata.org/entity/Q173387,墓穴,ぼけつ
http://www.wikidata.org/entity/Q174984,信号,しんごう
http://www.wikidata.org/entity/Q176501,音色,ねいろ
http://www.wikidata.org/entity/Q177157,術衣,じゅつい
http://www.wikidata.org/entity/Q177232,息子,むすこ
http://www.wikidata.org/entity/Q178354,理性,りせい
http://www.wikidata.org/entity/Q179461,聖典,せいてん
http://www.wikidata.org/entity/Q179583,横隊,おうたい
http://www.wikidata.org/entity/Q180538,漁業,ぎょぎょう
http://www.wikidata.org/entity/Q180958,学部,がくぶ
http://www.wikidata.org/entity/Q181937,易経,えききょう
http://www.wikidata.org/entity/Q182263,共感,きょうかん
http://www.wikidata.org/entity/Q182603,教父,きょうふ
http://www.wikidata.org/entity/Q182687,手相,てそう
http://www.wikidata.org/entity/Q184395,海水,かいすい
http://www.wikidata.org/entity/Q184511,熟語,じゅくご
http://www.wikidata.org/entity/Q185118,宝島,たからしま
http://www.wikidata.org/entity/Q185598,日記,にっき
http://www.wikidata.org/entity/Q185816,類推,るいすい
http://www.wikidata.org/entity/Q185884,鉄男,てつお
http://www.wikidata.org/entity/Q186517,寄生,きせい
http://www.wikidata.org/entity/Q188248,定数,ていすう
http://www.wikidata.org/entity/Q188497,軍団,ぐんだん
http://www.wikidata.org/entity/Q188675,署名,しょめい
http://www.wikidata.org/entity/Q189004,大学,だいがく
http://www.wikidata.org/entity/Q189533,学位,がくい
http://www.wikidata.org/entity/Q189569,基底,きてい
http://www.wikidata.org/entity/Q190009,章動,しょうどう
http://www.wikidata.org/entity/Q190200,高度,こうど
http://www.wikidata.org/entity/Q190558,否定,ひてい
http://www.wikidata.org/entity/Q191258,輪作,りんさく
http://www.wikidata.org/entity/Q192276,測度,そくど
http://www.wikidata.org/entity/Q192521,製図,せいず
http://www.wikidata.org/entity/Q193291,精神,せいしん
http://www.wikidata.org/entity/Q193372,寒帯,かんたい
http://www.wikidata.org/entity/Q193514,変形,へんけい
http://www.wikidata.org/entity/Q193642,縮尺,しゅくしゃく
http://www.wikidata.org/entity/Q193897,画筆,がひつ
http://www.wikidata.org/entity/Q197183,張飛,ちょうひ
http://www.wikidata.org/entity/Q198067,周原,しゅうげん
http://www.wikidata.org/entity/Q199006,終域,おわりいき
http://www.wikidata.org/entity/Q199657,読書,どくしょ
http://www.wikidata.org/entity/Q205034,垂直,すいちょく
http://www.wikidata.org/entity/Q205892,日付,ひづけ
http://www.wikidata.org/entity/Q206310,回転,かいてん
