漢字,仮名
アブ,あぶ
イヌ,いぬ
犬,いぬ
イエイヌ,いえいぬ
ウシ,うし
タウルスキャトル,たうるすきゃとる
タウリンウシ,たうりんうし
エビ,えび
海老,えび
蝦,えび
蛯,えび
カキ,かき
牡蠣,かき
牡蛎,かき
ボレイ,ぼれい
牡蛎殻,かきがら
牡蛎殼,かきがら
蛎,かき
蛎殻,かきがら
蛎殼,かきがら
蠣,かき
カニ,かに
蟹,かに
カビ,かび
黴,かび
カビ菌,かびきん
カモ,かも
鴨,かも
キジ,きじ
雉,きじ
雉子,きじ
クズ,くず
クマ,くま
熊,くま
クモ,くも
蜘蛛,くも
コカ,こか
サバ,さば
サル,さる
猿,さる
シカ,しか
鹿,しか
シミ,しみ
紙虫,しみ
ゾウ,ぞう
象,ぞう
タコ,たこ
蛸,たこ
鮹,たこ
鱆,たこ
章魚,たこ
ダニ,だに
蟎,だに
ダニ亜綱,だにあこう
ダニ目,だにもく
アカリ市,あかりし
壁蝨,だに
ツブ,つぶ
螺,つぶ
ツブガイ,つぶがい
つぶ貝,つぶがい
ツブ貝,つぶがい
ツル,つる
鶴,つる
ネコ,ねこ
猫,ねこ
イエネコ,いえねこ
ハエ,はえ
蝿,はえ
蠅,はえ
ハエ下目,はえかもく
環縫短角群,かんぽうたんかくぐん
環縫群,かんぽうぐん
ハギ,はぎ
萩,はぎ
ハチ,はち
蜂,はち
バラ,ばら
薔薇,ばら
ヒト,ひと
ホモサピエンス,ほもさぴえんす
現生人類,げんせいじんるい
ホモ・サピエンス・サピエンス,ほも・さぴえんす・さぴえんす
人,ひと
人間,にんげん
新人,しんじん
ホモ・サピエンス,ほも・さぴえんす
フグ,ふぐ
魨,ふぐ
鮐,ふぐ
鯸,ふぐ
鯺,ふぐ
鰒,ふぐ
河豚,ふぐ
ヘビ,へび
蛇,へび
ヤゴ,やご
太鼓虫,たいこむし
水蠆,やご
ロバ,ろば
驢馬,ろば
介類,かいるい
フルッティ・ディ・マーレ,ふるってぃ・でぃ・まーれ
仔牛,こうし
子牛,こうし
動物,どうぶつ
動物界,どうぶつかい
アニマル,あにまる
反芻,はんすう
ウシ亜目,うしあもく
反芻亜目,はんすうあもく
第一胃,だいいちい
反芻動物,はんすうどうぶつ
反芻胃,はんすうい
第四胃,だいよんい
家畜,かちく
家禽,かきん
小虫,こむし
コバエ,こばえ
小麦,こむぎ
コムギ,こむぎ
巻貝,まきがい
巻き貝,まきがい
巻貝類,まきがいるい
捲き貝,まきがい
螺類,らるい
木,き
樹木,じゅもく
毒蛇,どくへび
毒ヘビ,どくへび
水鳥,みずどり
水禽,すいきん
海獣,かいじゅう
海洋哺乳類,かいようほにゅうるい
海苔,のり
海藻,かいそう
海鳥,うみどり
畜牛,ちくぎゅう
白鷺,しらさぎ
シラサギ,しらさぎ
はくろ,はくろ
百合,ゆり
睡蓮,すいれん
スイレン,すいれん
粘菌,ねんきん
糞虫,ふんちゅう
クソムシ,くそむし
緑藻,りょくそう
緑藻綱,りょくそうこう
緑藻類,りょくそうるい
芋虫,いもむし
イモムシ,いもむし
苔,こけ
蘚,せん
コケ,こけ
草本,そうほん
藻類,そうるい
虫,むし
蟲,むし
ムシ,むし
蛆,うじ
ウジムシ,うじむし
ウジ虫,うじむし
蛆虫,うじむし
蠕虫,ぜんちゅう
ぜん虫,ぜんちゅう
貝,かい
酵母,こうぼ
イースト菌,いーすときん
コウボ,こうぼ
酵母菌,こうぼきん
野蚕,やさん
錦鯉,にしきごい
ニシキゴイ,にしきごい
陸貝,りくがい
陸生貝類,りくせいかいるい
陸産貝,りくさんがい
陸産貝類,りくさんかいるい
陸貝類,りくがいるい
雁,がん
ガン,がん
鴈,がん
かり,かり
ガン族,がんぞく
雄牛,おうし
おうし,おうし
ブル,ぶる
牡牛,おうし
雌牛,めうし
魚類,ぎょるい
魚,さかな
鯉,こい
コイ,こい
鯛,たい
タイ,たい
鳥類,ちょうるい
現生鳥類,げんせいちょうるい
鳥種,ちょうしゅ
鳥鋼,ちょうこう
鳥類相,ちょうるいそう
新鳥類,しんちょうるい
鳥綱,ちょうこう
鳥,とり
小鳥,ことり
囀,さえずり
鳩,はと
ハト,はと
コロンブ,ころんぶ
ピジョン,ぴじょん
白鳩,しろばと
鷗,かもめ
鴎,かもめ
カモメ亜科,かもめあか
鷲,わし
イーグル,いーぐる
ワシ,わし
鷹,たか
鷺,さぎ
サギ,さぎ
ヘロン,へろん
鼠,ねずみ
