漢字,仮名
幸福,こうふく
直角,ちょっかく
水素,すいそ
散文,さんぶん
塩素,えんそ
白金,しろがね
黄色,きいろ
代謝,たいしゃ
北海,ほっかい
英語,えいご
陽子,ようこ
元期,もとき
自由,じゆう
地図,ちず
投資,とうし
水泳,すいえい
生物,せいぶつ
筋肉,きんにく
母親,ははおや
水球,すいきゅう
真理,しんり
人権,じんけん
宗教,しゅうきょう
確率,かくりつ
静脈,じょうみゃく
神経,しんけい
関節,かんせつ
動脈,どうみゃく
代宗,だいそう
順宗,じゅんしゅう
英宗,えいそう
金属,きんぞく
温度,おんど
電流,でんりゅう
天球,てんきゅう
測定,そくてい
火薬,かやく
戦車,せんしゃ
四国,しこく
積雲,せきうん
昼光,ちゅうこう
病院,びょういん
成年,せいねん
住民,じゅうみん
紅海,こうかい
裏門,うらもん
国歌,こっか
独楽,こま
童話,どうわ
電圧,でんあつ
頂点,ちょうてん
歌唱,かしょう
百済,くだら
夫余,ふよ
明史,みんし
織物,おりもの
信念,しんねん
語源,ごげん
物質,ぶっしつ
売春,ばいしゅん
眼鏡,めがね
世宗,せいそう
俳句,はいく
合金,ごうきん
子犬,こいぬ
犬種,けんしゅ
層雲,そううん
種子,しゅし
主権,しゅけん
雑種,ざっしゅ
石英,せきえい
資産,しさん
造園,ぞうえん
放下,ほうげ
近東,きんとう
海馬,かいば
通勤,つうきん
文書,ぶんしょ
南区,みなみく
北区,きたく
北区,きたく
北区,きたく
北区,きたく
西区,にしく
西区,にしく
中区,なかく
中区,なかく
尊者,そんじゃ
旅行,りょこう
接辞,せつじ
定理,ていり
犬島,いぬしま
知能,ちのう
刀部,かたなぶ
宝島,たからしま
万鋼,まんこう
女部,おんなぶ
小部,こべ
歯肉,しにく
光束,こうそく
語根,ごこん
京商,きょうしょう
至点,いたてん
暴力,ぼうりょく
横田,よこた
小脳,しょうのう
観念,かんねん
方部,ほうぶ
毛部,けぶ
迷信,めいしん
単糖,たんとう
受粉,じゅふん
貴族,きぞく
馬医,うまい
会長,かいちょう
火口,かこう
歯車,はぐるま
白部,しろぶ
示部,じぶ
豆果,とうか
可児,かに
京都,きょうと
大工,だいく
名取,なとり
白河,しらかわ
海運,かいうん
年金,ねんきん
米部,こめぶ
至部,いたぶ
少将,しょうしょう
見部,けんぶ
角部,かくぶ
主義,しゅぎ
支流,しりゅう
西洋,せいよう
知覚,ちかく
死神,しにがみ
中州,なかす
印章,いんしょう
造花,ぞうか
線分,せんぶん
正午,しょうご
近視,きんし
査証,さしょう
包領,つつみりょう
事故,じこ
現像,げんぞう
感覚,かんかく
墓穴,ぼけつ
信号,しんごう
音色,ねいろ
術衣,じゅつい
息子,むすこ
理性,りせい
聖典,せいてん
横隊,おうたい
漁業,ぎょぎょう
学部,がくぶ
易経,えききょう
共感,きょうかん
教父,きょうふ
手相,てそう
海水,かいすい
熟語,じゅくご
宝島,たからしま
日記,にっき
類推,るいすい
鉄男,てつお
寄生,きせい
定数,ていすう
軍団,ぐんだん
署名,しょめい
大学,だいがく
学位,がくい
基底,きてい
章動,しょうどう
高度,こうど
否定,ひてい
輪作,りんさく
測度,そくど
製図,せいず
精神,せいしん
寒帯,かんたい
変形,へんけい
縮尺,しゅくしゃく
画筆,がひつ
張飛,ちょうひ
周原,しゅうげん
終域,おわりいき
読書,どくしょ
垂直,すいちょく
日付,ひづけ
回転,かいてん
市警,しけい
頂上,ちょうじょう
退位,たいい
純潔,じゅんけつ
冬至,とうじ
観客,かんきゃく
学長,がくちょう
土産,みやげ
表皮,ひょうひ
砂場,すなば
接語,せつご
等号,とうごう
木刀,ぼくとう
商人,しょうにん
聖水,せいすい
合板,ごうはん
末口,すえくち
戦象,せんぞう
構成,こうせい
圧縮,あっしゅく
集合,しゅうごう
時間,じかん
区間,くかん
広島,ひろしま
文楽,ぶんらく
里部,さとぶ
門部,もんぶ
界層,かいそう
張定,ちょうてい
九度,きゅうど
特許,とっきょ
相似,そうじ
暴動,ぼうどう
幼虫,ようちゅう
軍使,ぐんし
詩学,しがく
悪地,あくち
変性,へんせい
八調,はちちょう
複塩,ふくえん
景県,けいけん
歌台,うただい
朝敵,ちょうてき
音部,おとぶ
東風,ひがしかぜ
頂点,ちょうてん
鼻部,はなぶ
四季,しき
船首,せんしゅ
木田,きだ
国歌,こっか
旅客,りょきゃく
協定,きょうてい
国民,こくみん
輸率,ゆりつ
安宿,やすやど
京劇,きょうげき
河童,かっぱ
母国,ぼこく
逆元,ぎゃくげん
直示,ちょくじ
受信,じゅしん
三島,みしま
羽黒,はぐろ
原田,はらだ
高松,たかまつ
水野,みずの
定規,じょうぎ
計時,けいじ
水和,すいわ
熟議,じゅくぎ
教科,きょうか
栄西,えいさい
坂本,さかもと
将軍,しょうぐん
告白,こくはく
色相,しきそう
色名,しきめい
台車,だいしゃ
大神,だいじん
大川,おおかわ
皇子,おうじ
成王,せいおう
服従,ふくじゅう
前庭,ぜんてい
中央,ちゅうおう
感染,かんせん
半田,はんだ
大門,だいもん
星野,ほしの
矢島,やじま
赤松,あかまつ
連山,れんざん
太和,たいわ
王国,おうこく
強直,きょうちょく
野田,のだ
北海,ほっかい
世宗,せいそう
小川,おがわ
王宮,おうきゅう
飯島,いいじま
上川,かみかわ
太陽,たいよう
武田,たけだ
平田,ひらた
大字,おおあざ
王宮,おうきゅう
規制,きせい
予科,よか
田漢,でんかん
列子,れっし
王潔,おうきよし
変色,へんしょく
市川,いちかわ
海部,かいふ
春日,かすが
幕下,まくした
君主,くんしゅ
手紙,てがみ
色気,いろけ
責任,せきにん
誕生,たんじょう
自切,じせつ
犬学,いぬがく
再生,さいせい
孫休,そんきゅう
死神,しにがみ
乳母,うば
身長,しんちょう
窓税,まどぜい
辺山,へんやま
英祖,えいそ
断口,だんくち
厚意,こうい
客体,きゃくたい
南日,なんにち
定宗,ていそう
成宗,せいしゅう
宣宗,せんそう
紅玉,こうぎょく
