漢字,仮名
大陸,たいりく
海洋,かいよう
大洋,たいよう
大海,たいかい
火山,かざん
天気,てんき
気象,きしょう
天候,てんこう
竜巻,たつまき
半島,はんしま
運河,うんが
港湾,こうわん
海港,かいこう
良港,りょうこう
海峡,かいきょう
雷鳴,らいめい
雷音,らいいん
山脈,さんみゃく
降水,こうすい
雷雨,らいう
支流,しりゅう
支川,しせん
砂丘,さきゅう
峡谷,きょうこく
湿地,しっち
湿生,しっしょう
海流,かいりゅう
吹雪,ふぶき
風雪,ふうせつ
蛇行,だこう
河口,かこう
断層,だんそう
砂嵐,すなあらし
火口,かこう
沼地,ぬまち
熱波,ねっぱ
巻雲,けんうん
絹雲,けんうん
霧雨,きりさめ
積雲,せきうん
領海,りょうかい
領水,りょうみず
急流,きゅうりゅう
早瀬,はやせ
縁海,えんかい
台風,たいふう
野分,のわき
颱風,たいふう
塩湖,えんこ
湖塩,みずうみしお
球電,たまでん
層雲,そううん
霧雲,きりぐも
圏谷,けんこく
溝渠,こうきょ
管渠,かんきょ
泊地,はくち
流路,りゅうろ
水路,すいろ
背斜,はいしゃ
岩礁,がんしょう
海山,うみやま
小川,おがわ
合流,ごうりゅう
埠頭,ふとう
水源,すいげん
塩田,しおだ
温泉,おんせん
水槽,すいそう
山地,さんち
岩脈,がんみゃく
霧氷,むひょう
粗氷,そこおり
樹氷,じゅひょう
樹霜,きしも
凍結,とうけつ
果樹,かじゅ
地塁,ちるい
