漢字,仮名
バフ,ばふ
京紫,きょうむらさき
体色,たいしょく
色調,しきちょう
動物の体色,どうぶつのたいしょく
冬毛,ふゆげ
原色,げんしょく
墨色,すみいろ
墨染め,すみぞめ
彩雲,さいうん
曙色,あけぼのいろ
朱色,しゅいろ
バーミリオン,ばーみりおん
ヴァーミリオン,ゔぁーみりおん
朱赤,しゅあか
銀朱,ぎんしゅ
条痕,じょうこん
条痕色,じょうこんしょく
条痕板,じょうこんばん
桃色,ももいろ
ピーチ,ぴーち
ピーチブラッサム,ぴーちぶらっさむ
ピーチブロッサム,ぴーちぶろっさむ
ピーチ色,ぴーちいろ
ペッシュ,ぺっしゅ
桃花色,ももはないろ
桜色,さくらいろ
水色,みずいろ
深紅,しんく
クリムゾン,くりむぞん
呉藍,ごらん
深紅色,しんくしょく
紅色,こうしょく
濃紫,のうし
紫紺,しこん
灰色,はいいろ
グレイ,ぐれい
グレー,ぐれー
グレー色,ぐれーいろ
グレイ色,ぐれいいろ
無色,むしょく
特色,とくしょく
スポットカラー,すぽっとからー
特練色,とくれんしょく
白,しろ
白色,はくしょく
白い,しろい
純白,じゅんぱく
ホワイト,ほわいと
白毛,はくもう
白髪,しらが
白黒,しろくろ
ブラック・アンド・ホワイト,ぶらっく・あんど・ほわいと
白と黒,しろとくろ
白黒写真,しろくろしゃしん
ブラック＝アンド＝ホワイト・,ぶらっく＝あんど＝ほわいと・
ブラックアンドホワイト,ぶらっくあんどほわいと
ブラック & ホワイト,ぶらっく & ほわいと
ブラック&ホワイト,ぶらっく&ほわいと
ホワイト & ブラック,ほわいと & ぶらっく
ホワイト・アンド・ブラック,ほわいと・あんど・ぶらっく
ホワイト&ブラック,ほわいと&ぶらっく
黒白,こくびゃく
禁色,きんじき
空色,そらいろ
紅葉,こうよう
褐葉,かつよう
黄葉,こうよう
紫,むらさき
パープル,ぱーぷる
紺色,こんいろ
紺,こん
緑,みどり
グリーン,ぐりーん
緑色,りょくしょく
綠,みどり
緑の目,みどりのめ
緑の眼,みどりのめ
緑目,みどりめ
緑色の目,りょくしょくのめ
緑色の眼,りょくしょくのめ
緑髪,みどりがみ
緑色の髪,みどりいろのかみ
練色,ねりいろ
羽衣,うい
色,いろ
カラー,からー
茶色,ちゃいろ
茶髪,ちゃぱつ
ブルネット,ぶるねっと
草色,くさいろ
菫色,すみれいろ
バイオレット,ばいおれっと
萌黄,もえぎ
もえぎ,もえぎ
萌木,もえぎ
萌木色,もえぎいろ
萌葱,もえぎ
萌葱色,もえぎいろ
萌黄色,もえぎいろ
藍白,あいじろ
藍色,あいいろ
インディゴ,いんでぃご
蛍光,けいこう
蛍光体,けいこうたい
蛍光物質,けいこうぶっしつ
蛍光色,けいこうしょく
補色,ほしょく
赤,あか
レッド,れっど
赤色,あかいろ
赤毛,あかげ
ジンジャー・ヘア,じんじゃー・へあ
ジンジャーヘア,じんじゃーへあ
スカーレット・ヘア,すかーれっと・へあ
スカーレットヘア,すかーれっとへあ
レッド・ヘア,れっど・へあ
レッドヘア,れっどへあ
赤髪,あかがみ
金色,きんいろ
黄金色,こがねいろ
金髪,きんぱつ
ブロンド,ぶろんど
銀色,ぎんいろ
白銀色,しろがねいろ
銀髪,ぎんぱつ
銅色,どういろ
コッパー,こっぱー
青,あお
ブルー,ぶるー
青色,あおいろ
青毛,あおげ
青緑,あおみどり
青緑色,せいりょくしょく
髪色,かみいろ
鹿毛,かげ
黄緑,きみどり
シャルトリューズ (色),しゃるとりゅーず (いろ)
黄緑色,きみどりいろ
黄色,きいろ
黄,き
イエロー,いえろー
黒,くろ
ブラック,ぶらっく
黑,くろ
ヴァイン・ブラック,ゔぁいん・ぶらっく
バイン・ブラック,ばいん・ぶらっく
ピーチ・ブラック,ぴーち・ぶらっく
植物性黒,しょくぶつせいくろ
烏の濡れ羽色,からすのぬればいろ
黒色,こくしょく
