漢字,仮名
へそ,へそ
臍,へそ
𦜝,へそ
ほぞ,ほぞ
おへそ,おへそ
おヘソ,おへそ
オヘソ,おへそ
お臍,おへそ
ヘソ,へそ
上丘,じょうきゅう
上唇,じょうしん
上口唇,じょうこうしん
上皮,じょうひ
上皮系,じょうひけい
上皮組織,じょうひそしき
上肢,じょうし
上肢骨,じょうしこつ
上腕,じょうわん
上腕部,じょうわんぶ
上膊,じょうはく
二の腕,にのうで
上葉,じょうよう
肺上葉,はいじょうよう
上衣,じょうい
上顆,じょうか
下丘,かきゅう
下唇,かしん
下口唇,かこうしん
下腿,かたい
下葉,かよう
肺下葉,はいかよう
両肺,りょうはい
中指,なかゆび
お兄さん指,おにいさんゆび
高高指,たかたかゆび
中皮,ちゅうひ
中耳,ちゅうじ
中脳,ちゅうのう
中腎,ちゅうじん
中腸,ちゅうちょう
中膜,ちゅうまく
血管中膜,けっかんちゅうまく
中葉,ちゅうよう
中間葉,ちゅうかんよう
肺中葉,はいちゅうよう
乳,にゅう
乳汁,にゅうじゅう
ミルク,みるく
乳房,にゅうぼう
おっぱい,おっぱい
ちぶさ,ちぶさ
乳歯,にゅうし
乳管,にゅうかん
乳糜,にゅうび
乳び,にゅうび
乳状液,にゅうじょうえき
乳腺,にゅうせん
乳輪,にゅうりん
乳暈,にゅううん
乳首,ちくび
バストトップ,ばすととっぷ
亀頭,きとう
人中,じんちゅう
仙椎,せんつい
仙骨,せんこつ
正中仙骨稜,せいちゅうせんこつりょう
薦骨,せんこつ
仙髄,せんずい
会陰,えいん
体液,たいえき
体節,たいせつ
体腔,たいこう
側索,そくさく
側束,そくそく
側線,そくせん
内包,ないほう
内皮,ないひ
内耳,ないじ
内膜,ないまく
血管内膜,けっかんないまく
内臓,ないぞう
切歯,せっし
中切歯,ちゅうせっし
側切歯,そくせっし
門歯,もんし
初乳,しょにゅう
前庭,ぜんてい
前核,ぜんかく
前根,ぜんこん
前胃,ぜんい
前脳,ぜんのう
前脳胞,ぜんのうほう
前腕,ぜんわん
前腕部,ぜんわんぶ
前腸,ぜんちょう
副腎,ふくじん
腎上体,じんじょうたい
副骨,ふくこつ
動脈,どうみゃく
卵丘,らんきゅう
卵巣,らんそう
卵歯,らんし
卵白,らんぱく
卵胞,らんほう
原口,げんこう
原基,げんき
始原体,しげんたい
口腔,こうくう
口蓋,こうがい
右肺,うはい
味蕾,みらい
咬筋,こうきん
咬頭,こうとう
咽喉,いんこう
咽頭,いんとう
咽頭腔,いんとうくう
唇,くちびる
脣,くちびる
口唇,こうしん
口びる,くちびる
唾液,だえき
唾,つば
つば,つば
ヨダレ,よだれ
喉頭,こうとう
嗅溝,きゅうこう
嗅球,きゅうきゅう
嗅索,きゅうさく
嗅脳,きゅうのう
器官,きかん
臓器,ぞうき
噴門,ふんもん
食道下部括約筋,しょくどうかぶかつやくきん
回腸,かいちょう
坐骨,ざこつ
座骨,ざこつ
